"id","age","gender","education","marital_status","income","happiness","class_identity"
1,37,"女","高卒","既婚",532,6,7
2,42,"女","中卒","未婚",340,4,4
3,68,"女","高卒","既婚",258,5,7
4,46,"女","大卒","未婚",434,8,9
5,47,"女","高卒","既婚",447,6,4
6,69,"男","大卒","既婚",749,9,10
7,52,"女","大卒","未婚",711,10,10
8,26,"女","高卒","既婚",337,7,4
9,35,"女","中卒","既婚",184,7,6
10,38,"女","大卒","未婚",279,7,8
11,63,"男","中卒","既婚",499,8,6
12,50,"女","大卒","未婚",547,6,8
13,51,"男","大卒","既婚",634,6,6
14,47,"男","高卒","既婚",410,8,8
15,37,"男","高卒","既婚",152,6,3
16,69,"女","高卒","未婚",516,7,5
17,52,"男","大卒","未婚",652,7,8
18,20,"女","高卒","未婚",413,8,5
19,56,"女","大卒","既婚",651,9,10
20,38,"女","高卒","既婚",396,9,4
21,29,"男","高卒","既婚",225,7,3
22,42,"女","大卒","未婚",497,8,7
23,30,"男","高卒","未婚",288,5,5
24,34,"女","高卒","既婚",510,8,10
25,36,"女","大卒","未婚",597,7,5
26,20,"女","大卒","未婚",859,6,10
27,58,"男","中卒","未婚",402,4,6
28,47,"男","中卒","未婚",245,5,5
29,28,"女","高卒","既婚",273,5,2
30,64,"男","中卒","未婚",266,6,4
31,51,"男","大卒","未婚",543,8,6
32,41,"男","高卒","既婚",366,6,2
33,58,"男","高卒","既婚",523,8,4
34,58,"女","高卒","未婚",288,4,3
35,57,"女","大卒","既婚",563,10,9
36,55,"男","高卒","未婚",419,6,4
37,53,"男","高卒","既婚",338,10,6
38,44,"男","高卒","未婚",438,6,6
39,40,"男","高卒","未婚",309,9,3
40,39,"男","中卒","未婚",374,7,5
41,35,"女","大卒","既婚",537,8,8
42,42,"女","高卒","既婚",511,10,4
43,26,"女","高卒","未婚",305,7,6
44,69,"男","高卒","既婚",410,7,5
45,63,"男","高卒","未婚",448,7,5
46,28,"男","大卒","既婚",630,9,6
47,39,"男","高卒","既婚",578,8,6
48,38,"女","大卒","既婚",393,7,5
49,57,"女","高卒","既婚",520,8,6
50,44,"女","大卒","未婚",552,8,7
51,49,"男","大卒","既婚",562,10,7
52,45,"女","高卒","既婚",475,8,7
53,44,"男","中卒","既婚",367,6,3
54,66,"女","高卒","既婚",386,9,5
55,42,"男","高卒","既婚",257,7,6
56,68,"女","大卒","未婚",391,8,8
57,22,"男","高卒","未婚",363,4,5
58,54,"男","大卒","既婚",549,7,7
59,47,"男","大卒","既婚",381,8,8
60,48,"男","中卒","既婚",331,5,5
61,51,"女","中卒","既婚",227,10,4
62,37,"男","高卒","既婚",354,6,4
63,40,"男","大卒","既婚",506,8,7
64,30,"男","高卒","既婚",327,5,5
65,29,"女","高卒","未婚",381,10,6
66,50,"女","大卒","未婚",554,8,7
67,52,"女","高卒","未婚",302,5,4
68,46,"女","中卒","既婚",391,8,4
